City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Cabo San Lucas,MX,2022-09-28 20:07:03,22.8909,-109.9124,91.62,76,20,10.36
257,Flinders,AU,2022-09-28 20:03:26,-34.5833,150.8552,57.18,90,100,10.0
258,La Ronge,CA,2022-09-28 20:07:04,55.1001,-105.2842,69.44,39,41,3.62
259,Katsuura,JP,2022-09-28 20:07:04,35.1333,140.3,71.83,65,100,4.0
260,Dongning,CN,2022-09-28 20:07:05,44.0622,131.1207,53.76,88,1,2.62
261,Coihaique,CL,2022-09-28 20:07:06,-45.5752,-72.0662,65.01,58,7,8.57
262,Zyryanka,RU,2022-09-28 20:07:06,65.75,150.85,27.5,78,100,7.49
263,Sidney,AU,2022-09-28 20:04:38,-33.8679,151.2073,57.7,90,100,1.01
264,Biak,ID,2022-09-28 20:07:07,-0.9131,122.8766,75.72,86,96,0.27
265,Alofi,NU,2022-09-28 20:07:08,-19.0595,-169.9187,78.69,83,40,6.91
266,Tahe,CN,2022-09-28 20:07:08,52.3333,124.7333,32.95,71,100,2.75
267,Hami,CN,2022-09-28 20:07:09,42.8,93.45,65.19,39,100,17.05
268,Komsomolskiy,UZ,2022-09-28 20:07:09,40.4272,71.7189,61.52,44,81,6.91
269,Lusambo,CD,2022-09-28 20:07:10,-4.9667,23.45,69.6,91,91,2.17
270,Neiafu,TO,2022-09-28 20:07:10,-18.65,-173.9833,77.68,83,40,10.36
271,Bari,IT,2022-09-28 20:08:10,41.1177,16.8512,70.88,63,20,9.22
272,Kontagora,NG,2022-09-28 20:08:11,10.3999,5.4695,71.92,94,34,4.16
273,Lithakia,GR,2022-09-28 20:08:11,37.7167,20.8333,69.17,73,0,8.48
274,Balkanabat,TM,2022-09-28 20:08:12,39.5108,54.3671,78.39,21,0,10.33
275,Ramona,US,2022-09-28 20:08:13,33.0417,-116.8681,100.76,33,0,12.66
276,Vila Velha,BR,2022-09-28 20:08:14,-20.3297,-40.2925,75.15,90,75,10.36
277,Caravelas,BR,2022-09-28 20:08:14,-17.7125,-39.2481,76.37,78,0,11.1
278,Kloulklubed,PW,2022-09-28 20:08:15,7.0419,134.2556,75.7,74,100,3.87
279,Abu Kamal,SY,2022-09-28 20:08:15,34.4506,40.9171,78.94,24,0,8.97
280,Taoudenni,ML,2022-09-28 20:08:15,22.6783,-3.9836,100.74,15,4,11.59
281,Nokha,IN,2022-09-28 20:08:16,27.6,73.4167,85.26,42,0,10.29
282,Porto Torres,IT,2022-09-28 20:08:16,40.835,8.3972,68.18,76,100,9.48
283,Zhezkazgan,KZ,2022-09-28 20:08:17,47.8043,67.7144,39.33,53,100,13.38
